Registro,Prediccion
12,0.04593554
13,0.029129917
14,0.027239213
15,0.023912713
16,0.023198012
17,0.01824825
18,0.008354236
19,0.005180965
20,0.0042706
21,0.005375349
22,0.012116703
23,0.06854585
24,0.26498008
25,0.33454958
26,0.17384824
27,0.096067525
28,0.04029505
29,0.014110057
30,0.004366395
31,0.00238
32,0.001358729
33,0.00125313
34,0.0017815132
35,0.004068575
36,0.02376883
37,0.083571374
38,0.038437355
39,0.03378285
40,0.018197702
41,0.007404146
42,0.0036923634
43,0.001620682
44,0.0012402158
45,0.0009960117
46,0.0009792368
47,0.0013470695
48,0.0036396908
49,0.013475221
50,0.021247508
51,0.02368222
52,0.024910087
53,0.023991479
54,0.012244019
55,0.005913697
56,0.0035654402
57,0.0037330557
58,0.005590613
59,0.024579057
60,0.1557311
61,0.14204974
62,0.11357425
63,0.11083727
64,0.09441749
65,0.09989632
66,0.094008826
67,0.052455872
68,0.017453356
69,0.013088857
70,0.024953414
71,0.056513075
72,0.12616752
73,0.069920205
74,0.026494265
75,0.015086297
76,0.006853779
77,0.003913953
78,0.0022926687
79,0.0018760732
80,0.0017024886
81,0.0015835887
82,0.0019311317
83,0.0037132597
84,0.008592892
85,0.012015327
86,0.020015398
87,0.033311218
88,0.0398152
89,0.024641696
90,0.015590013
91,0.0056319386
92,0.0036590206
93,0.0023903048
94,0.002525858
95,0.0025601531
96,0.0019796721
97,0.0015893205
98,0.0012220587
99,0.0011888093
100,0.0011159972
101,0.0009806468
102,0.0010060396
103,0.0010312137
104,0.0009860665
105,0.0014015528
106,0.0023798645
107,0.0067122257
108,0.020590143
109,0.020446226
110,0.019502874
111,0.022251323
112,0.021664703
113,0.019674731
114,0.009771198
115,0.0053119576
116,0.0042470703
117,0.005908161
118,0.018013239
119,0.109422855
120,0.3145426
121,0.35226882
122,0.47669896
123,0.528674
124,0.59404993
125,0.6478945
126,0.6790854
127,0.6391007
128,0.6029065
129,0.57263285
130,0.5454257
131,0.5484349
132,0.51985633
133,0.4616551
134,0.3319942
135,0.2614773
136,0.23277636
137,0.17600904
138,0.1701207
139,0.12409602
140,0.08983073
141,0.04884935
142,0.041326113
143,0.043332122
144,0.03770013
145,0.016726928
146,0.013383961
147,0.012245344
148,0.016486228
149,0.018227031
150,0.016772142
151,0.016008748
152,0.014616479
153,0.012442766
154,0.011987745
155,0.018751401
156,0.11875944
157,0.133793
158,0.01190124
159,0.002903008
160,0.0021048833
161,0.0016894976
162,0.001498097
163,0.0018994444
164,0.0015500772
165,0.001356841
166,0.0019068233
167,0.0037142304
168,0.0039354954
169,0.006435782
170,0.0034635812
171,0.0047545973
172,0.003930142
173,0.0030843238
174,0.0032071304
175,0.00357663
176,0.0027583065
177,0.001675902
178,0.0012611863
179,0.001053647
180,0.0008206855
181,0.0008769625
182,0.00091670844
183,0.0013829658
184,0.0038199301
185,0.008229605
186,0.0128751155
187,0.015192573
188,0.015121763
189,0.012421759
190,0.015093837
191,0.025592944
192,0.02569584
193,0.018643916
194,0.0049469005
195,0.0072436063
196,0.013654395
197,0.019369492
198,0.02291316
199,0.017320558
200,0.01824281
201,0.016375994
202,0.018076943
203,0.03195123
204,0.023231722
205,0.008121252
206,0.0027618133
207,0.0020470193
208,0.0015225956
209,0.0014170697
210,0.0011629803
211,0.0013398865
212,0.0012463344
213,0.001136911
214,0.001206034
215,0.0015075541
216,0.0017842217
217,0.0020514328
218,0.0067271055
219,0.045740794
220,0.043294847
221,0.058483366
222,0.029294705
223,0.017592272
224,0.01125938
225,0.0063867443
226,0.0050746305
227,0.0045361957
228,0.0027291954
229,0.0022125246
230,0.001382389
231,0.0013133571
232,0.0012980683
233,0.0013233662
234,0.0014913994
235,0.0018025729
236,0.0014334378
237,0.001557061
238,0.0026087807
239,0.009330134
240,0.01364375
241,0.014064678
242,0.012663011
243,0.020832198
244,0.028277075
245,0.0428726
246,0.036646724
247,0.03540694
248,0.029737687
249,0.03309768
250,0.056133848
251,0.15936989
252,0.4058736
253,0.4510341
254,0.5069188
255,0.5640539
256,0.6014912
257,0.67317224
258,0.70031756
259,0.70047796
260,0.69447285
261,0.660659
262,0.6323014
263,0.6501938
264,0.5824761
265,0.4356453
266,0.23531981
267,0.122534804
268,0.08238467
269,0.04616615
270,0.036091596
271,0.021466516
272,0.012535154
273,0.0056533264
274,0.0044050375
275,0.0049211457
276,0.005237049
277,0.0039845784
278,0.0036172196
279,0.0034758744
280,0.0035192957
281,0.0029289613
282,0.0021151947
283,0.0017163525
284,0.0013698463
285,0.0012772297
286,0.001399824
287,0.0017527031
288,0.0026293541
289,0.005154228
290,0.0034509902
291,0.0016107216
292,0.0011652311
293,0.0012291317
294,0.00140509
295,0.002184666
296,0.0020952562
297,0.00190669
298,0.002598759
299,0.0047481325
300,0.0059993975
301,0.006436426
302,0.0044519873
303,0.0033084138
304,0.002762747
305,0.0023682895
306,0.0026468714
307,0.0032904646
308,0.0022815939
309,0.0014916161
310,0.0012031306
311,0.0010273954
312,0.0009802824
313,0.0009890207
314,0.0011068495
315,0.0012632122
316,0.0016449008
317,0.0017888553
318,0.002226686
319,0.0023012576
320,0.002036903
321,0.0017007865
322,0.001654825
323,0.0021183372
324,0.005745469
325,0.0067689028
326,0.0044833296
327,0.003478573
328,0.0029328559
329,0.0028066873
330,0.0032705627
331,0.003208623
332,0.0030201518
333,0.0024534634
334,0.002026854
335,0.0022179335
336,0.0029598013
337,0.0036439884
338,0.0030761412
339,0.0018020616
340,0.0012370845
341,0.0011737649
342,0.0010298991
343,0.0010971416
344,0.001125705
345,0.0011194454
346,0.0015946493
347,0.003702469
348,0.01057784
349,0.013632527
350,0.01696981
351,0.021295857
352,0.02072002
353,0.029125476
354,0.023654236
355,0.020480765
356,0.011726051
357,0.0067621735
358,0.0045797597
359,0.0037359651
360,0.0022296626
361,0.0015946409
362,0.0009976963
363,0.000838328
364,0.00084438163
365,0.0009276598
366,0.0011243596
367,0.0012785448
368,0.0011815048
369,0.0015044835
370,0.002073503
371,0.0045081615
372,0.0094331745
373,0.0060649454
374,0.0049871267
375,0.004427047
376,0.004051332
377,0.0045946874
378,0.003743974
379,0.0030152327
380,0.002096854
381,0.0016916312
382,0.0017391164
383,0.002316691
384,0.004114237
385,0.014626537
386,0.023000184
387,0.019906923
388,0.017996194
389,0.07086412
390,0.20215976
391,0.42236206
392,0.5330068
393,0.56966466
394,0.5975171
395,0.60352236
396,0.53374165
397,0.46658304
398,0.2815321
399,0.14191401
400,0.08561152
401,0.04317276
402,0.0382275
403,0.026619421
404,0.018208347
405,0.010594511
406,0.00850318
407,0.008689819
408,0.008430461
409,0.0053836
410,0.004335164
411,0.003594494
412,0.00376399
413,0.0031602893
414,0.0024490347
415,0.0021810052
416,0.0021563314
417,0.001988743
418,0.0018261982
419,0.0019070792
420,0.002959562
421,0.0029359867
422,0.0016933715
423,0.0011564073
424,0.000978651
425,0.0009695284
426,0.0009315294
427,0.0010001246
428,0.0009640378
429,0.0009996898
430,0.0012206475
431,0.0018231081
432,0.0021882528
433,0.0019735224
434,0.0014245943
435,0.0014823519
